"group"	"gene"
"Wnt signaling pathway"	"5582"
"Wnt signaling pathway"	"5599"
"Wnt signaling pathway"	"5601"
"Wnt signaling pathway"	"5602"
"Wnt signaling pathway"	"5613"
"Wnt signaling pathway"	"5663"
"Wnt signaling pathway"	"56998"
"Wnt signaling pathway"	"57216"
"Wnt signaling pathway"	"57680"
"Wnt signaling pathway"	"5879"
"Wnt signaling pathway"	"5880"
"Wnt signaling pathway"	"5881"
"Wnt signaling pathway"	"59343"
"Wnt signaling pathway"	"6093"
"Wnt signaling pathway"	"63928"
"Wnt signaling pathway"	"6422"
"Wnt signaling pathway"	"6423"
"Wnt signaling pathway"	"6424"
"Wnt signaling pathway"	"6425"
"Wnt signaling pathway"	"64321"
"Wnt signaling pathway"	"6477"
"Wnt signaling pathway"	"64840"
"Wnt signaling pathway"	"6500"
"Wnt signaling pathway"	"6885"
"Wnt signaling pathway"	"6907"
"Wnt signaling pathway"	"6932"
"Wnt signaling pathway"	"6934"
"Wnt signaling pathway"	"7157"
"Wnt signaling pathway"	"7471"
"Wnt signaling pathway"	"7472"
"Wnt signaling pathway"	"7473"
"Wnt signaling pathway"	"7474"
"Wnt signaling pathway"	"7475"
"Wnt signaling pathway"	"7476"
"Wnt signaling pathway"	"7477"
"Wnt signaling pathway"	"7478"
"Wnt signaling pathway"	"7479"
"Wnt signaling pathway"	"7480"
"Wnt signaling pathway"	"7481"
"Wnt signaling pathway"	"7482"
"Wnt signaling pathway"	"7483"
"Wnt signaling pathway"	"7484"
"Wnt signaling pathway"	"7855"
"Wnt signaling pathway"	"79718"
"Wnt signaling pathway"	"7976"
"Wnt signaling pathway"	"80319"
"Wnt signaling pathway"	"80326"
"Wnt signaling pathway"	"81029"
"Wnt signaling pathway"	"816"
"Wnt signaling pathway"	"817"
"Wnt signaling pathway"	"818"
"Wnt signaling pathway"	"81839"
"Wnt signaling pathway"	"8312"
"Wnt signaling pathway"	"8313"
"Wnt signaling pathway"	"8321"
"Wnt signaling pathway"	"8322"
"Wnt signaling pathway"	"8323"
"Wnt signaling pathway"	"8324"
"Wnt signaling pathway"	"8325"
"Wnt signaling pathway"	"8326"
"Wnt signaling pathway"	"83439"
"Wnt signaling pathway"	"8454"
"Wnt signaling pathway"	"85407"
"Wnt signaling pathway"	"85409"
"Wnt signaling pathway"	"8607"
"Wnt signaling pathway"	"894"
"Wnt signaling pathway"	"8945"
"Wnt signaling pathway"	"896"
"Wnt signaling pathway"	"89780"
"Wnt signaling pathway"	"90665"
"Wnt signaling pathway"	"9350"
"Wnt signaling pathway"	"9475"
"Wnt signaling pathway"	"9978"
"Apoptosis"	"11213"
"Apoptosis"	"11261"
"Apoptosis"	"120329"
"Apoptosis"	"1676"
"Apoptosis"	"1677"
"Apoptosis"	"2021"
"Apoptosis"	"207"
"Apoptosis"	"208"
"Apoptosis"	"23052"
"Apoptosis"	"23533"
"Apoptosis"	"317"
"Apoptosis"	"329"
"Apoptosis"	"330"
"Apoptosis"	"331"
"Apoptosis"	"355"
"Apoptosis"	"3551"
"Apoptosis"	"3552"
"Apoptosis"	"3553"
"Apoptosis"	"3554"
"Apoptosis"	"3556"
"Apoptosis"	"356"
"Apoptosis"	"3563"
"Apoptosis"	"3654"
"Apoptosis"	"3656"
"Apoptosis"	"4615"
"Apoptosis"	"472"
"Apoptosis"	"51135"
"Apoptosis"	"5291"
"Apoptosis"	"5293"
